iter	Passed	Remaining
0	23	2810
1	45	2720
2	61	2422
3	78	2303
4	96	2245
5	114	2195
6	133	2166
7	152	2148
8	169	2114
9	186	2073
10	204	2044
11	220	2002
12	235	1956
13	251	1923
14	266	1885
15	281	1850
16	295	1809
17	310	1777
18	325	1746
19	339	1716
20	354	1687
21	369	1660
22	383	1634
23	398	1609
24	413	1588
25	428	1566
26	444	1545
27	459	1526
28	473	1503
29	488	1481
30	496	1441
31	511	1421
32	519	1384
33	534	1366
34	549	1349
35	564	1331
36	579	1314
37	593	1296
38	608	1279
39	623	1262
40	637	1244
41	652	1228
42	668	1212
43	682	1194
44	697	1177
45	711	1160
46	726	1144
47	741	1127
48	756	1111
49	771	1096
50	786	1079
51	802	1064
52	817	1048
53	832	1032
54	847	1017
55	863	1002
56	878	986
57	894	972
58	910	957
59	926	941
60	941	926
61	958	912
62	976	898
63	994	885
64	1015	874
65	1033	861
66	1052	848
67	1069	833
68	1086	819
69	1104	804
70	1121	789
71	1136	773
72	1152	757
73	1167	741
74	1182	725
75	1197	708
76	1211	692
77	1226	676
78	1241	660
79	1257	644
80	1272	628
81	1288	612
82	1304	597
83	1319	581
84	1334	565
85	1349	549
86	1364	533
87	1379	517
88	1395	501
89	1410	485
90	1425	469
91	1440	453
92	1455	438
93	1470	422
94	1485	406
95	1501	390
96	1516	375
97	1533	359
98	1548	344
99	1563	328
100	1578	312
101	1593	296
102	1608	281
103	1623	265
104	1638	249
105	1654	234
106	1669	218
107	1684	202
108	1699	187
109	1715	171
110	1729	155
111	1745	140
112	1762	124
113	1780	109
114	1798	93
115	1815	78
116	1832	62
117	1849	47
118	1865	31
119	1881	15
120	1900	0
