iter	Passed	Remaining
0	1	794
1	2	694
2	4	667
3	5	657
4	6	665
5	7	640
6	9	645
7	10	644
8	11	637
9	12	631
10	14	625
11	15	617
12	16	618
13	17	618
14	19	637
15	20	632
16	22	630
17	23	623
18	24	617
19	25	614
20	26	610
21	28	608
22	29	606
23	30	604
24	31	602
25	32	598
26	34	597
27	35	590
28	36	587
29	37	587
30	38	586
31	39	581
32	40	579
33	42	577
34	43	576
35	44	578
36	46	580
37	47	576
38	48	574
39	49	573
40	51	574
41	52	573
42	53	572
43	55	571
44	56	571
45	57	568
46	59	569
47	60	565
48	61	563
49	62	563
50	63	561
